restaurant_title,restaurant_address,restaurant_page,restaurant_note
洪昌麻辣鴛鴦火鍋 新營店,臺南市新營區新進路二段270號,https://ifoodie.tw/restaurant/55a58147c03a10241de66c11-%E6%B4%AA%E6%98%8C%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E7%81%AB%E9%8D%8B-%E6%96%B0%E7%87%9F%E5%BA%97,https://ifoodie.tw/blog/6399cb5b7b74750a8768c1a8/link
哈尼私廚-HN.Kitchen,臺南市新營區三民路17號,https://ifoodie.tw/restaurant/651977760fe5a93d03377e66-%E5%93%88%E5%B0%BC%E7%A7%81%E5%BB%9A-HN-Kitchen,https://ifoodie.tw/blog/6399cde8ad46900c57c1cefe/link
金三益健康茶飲 新營健康店,臺南市新營區健康路16號,https://ifoodie.tw/restaurant/62c50326baf6d376ec5a66aa-%E9%87%91%E4%B8%89%E7%9B%8A%E5%81%A5%E5%BA%B7%E8%8C%B6%E9%A3%B2-%E6%96%B0%E7%87%9F%E5%81%A5%E5%BA%B7%E5%BA%97,https://ifoodie.tw/blog/64c1de289c3e9b664fa80b5d/link
榮昌小吃火雞肉飯,臺南市新營區復興路158號,https://ifoodie.tw/restaurant/6390958f01ba334db37a853d-%E6%A6%AE%E6%98%8C%E5%B0%8F%E5%90%83%E7%81%AB%E9%9B%9E%E8%82%89%E9%A3%AF,https://ifoodie.tw/blog/63909351b684176544730227/link
鼎皇一鍋一燒 新營店,臺南市新營區民生路40之2號,https://ifoodie.tw/restaurant/61e0debb781cc075bb260997-%E9%BC%8E%E7%9A%87%E4%B8%80%E9%8D%8B%E4%B8%80%E7%87%92-%E6%96%B0%E7%87%9F%E5%BA%97,https://ifoodie.tw/blog/638607352627e627fdaa5071/link
越式麵包,臺南市新營區東興路65之4號,https://ifoodie.tw/restaurant/6384b79e01ba331495b76e16-%E8%B6%8A%E5%BC%8F%E9%BA%B5%E5%8C%85,https://ifoodie.tw/blog/6384b5efeff25d18b02898a6/link
種子烘焙,臺南市新營區民治路330號,https://ifoodie.tw/restaurant/637e1fa401ba33211a55732b-%E7%A8%AE%E5%AD%90%E7%83%98%E7%84%99,https://ifoodie.tw/blog/637e1e357366b77caf06c962/link
阿松臭豆腐,臺南縣新營市中正路37之1號,https://ifoodie.tw/restaurant/55982b0340b5e30894d71f02-%E9%98%BF%E6%9D%BE%E8%87%AD%E8%B1%86%E8%85%90,https://ifoodie.tw/blog/637b7b3c1e64f246e90668cf/link
康樂胚芽意麵,臺南市新營區康樂街44號,https://ifoodie.tw/restaurant/5598296240b5e30894d71e1e-%E5%BA%B7%E6%A8%82%E8%83%9A%E8%8A%BD%E6%84%8F%E9%BA%B5,https://ifoodie.tw/blog/636ba5b6658aba117ca69087/link
醋頭家 Ture Boss新營東興店,臺南市新營區東興路298號,https://ifoodie.tw/restaurant/651a3d940fe5a94adbeca9fb-%E9%86%8B%E9%A0%AD%E5%AE%B6-Ture-Boss%E6%96%B0%E7%87%9F%E6%9D%B1%E8%88%88%E5%BA%97,https://ifoodie.tw/blog/636ba6b62e9ea25e08938739/link
慈味布丁豆花（原福泉布丁豆花）,臺南市新營區民權路88號,https://ifoodie.tw/restaurant/6224e245baf6d344bf062d0b-%E6%85%88%E5%91%B3%E5%B8%83%E4%B8%81%E8%B1%86%E8%8A%B1-%E5%8E%9F%E7%A6%8F%E6%B3%89%E5%B8%83%E4%B8%81%E8%B1%86%E8%8A%B1-,https://ifoodie.tw/blog/6357d360b4478b5fe991f96d/link
柒叁零炒飯專賣,臺南市新營區民治東路7號,https://ifoodie.tw/restaurant/651a66773185376e032b57e4-%E6%9F%92%E5%8F%81%E9%9B%B6%E7%82%92%E9%A3%AF%E5%B0%88%E8%B3%A3,https://ifoodie.tw/blog/634d569c0bfd387bf9b81fda/link
老鄧麵食館,臺南市新營區中正路88號,https://ifoodie.tw/restaurant/6321d6f77cc7fc29b4d90996-%E8%80%81%E9%84%A7%E9%BA%B5%E9%A3%9F%E9%A4%A8,
月港小鎮,臺南市新營區新進路二段142號,https://ifoodie.tw/restaurant/651a85130fe5a9862784acdc-%E6%9C%88%E6%B8%AF%E5%B0%8F%E9%8E%AE,https://ifoodie.tw/blog/632083f6b6bdd14b0c6e7f31/link
106巷手作坊 ( 米果饅頭團購宅配 ),臺南市新營區民族路106巷70之2號,https://ifoodie.tw/restaurant/61e02b1c7cc7fc75406f7349--%E5%B7%B7%E6%89%8B%E4%BD%9C%E5%9D%8A-%E7%B1%B3%E6%9E%9C%E9%A5%85%E9%A0%AD%E5%9C%98%E8%B3%BC%E5%AE%85%E9%85%8D-,https://ifoodie.tw/blog/631f323dddbc266f466611dd/link
南紙街無名早餐店,臺南市新營區南紙街72號,https://ifoodie.tw/restaurant/61e02b0f7cc7fc75406f7337-%E5%8D%97%E7%B4%99%E8%A1%97%E7%84%A1%E5%90%8D%E6%97%A9%E9%A4%90%E5%BA%97,https://ifoodie.tw/blog/6311f5ebcd99577ea24442f8/link
勳 新進薑母鴨,臺南市新營區新進路二段215之19號,https://ifoodie.tw/restaurant/5c4f0debf5246812c7b4565d-%E5%8B%B3-%E6%96%B0%E9%80%B2%E8%96%91%E6%AF%8D%E9%B4%A8,
八八八紅燒牛筋肉飯,臺南市新營區三民路46之8號,https://ifoodie.tw/restaurant/61e0dfae873d79585f0a405d-%E5%85%AB%E5%85%AB%E5%85%AB%E7%B4%85%E7%87%92%E7%89%9B%E7%AD%8B%E8%82%89%E9%A3%AF,https://ifoodie.tw/blog/630cbd1e41d64b3679ab6ba0/link
初八拉麵 新營店,臺南市新營區中華路133號,https://ifoodie.tw/restaurant/5edb90152261395ddde503a1-%E5%88%9D%E5%85%AB%E6%8B%89%E9%BA%B5-%E6%96%B0%E7%87%9F%E5%BA%97,
德記腸粉麵店,臺南市新營區民族路191號,https://ifoodie.tw/restaurant/5d628481d6895d501cdb4964-%E5%BE%B7%E8%A8%98%E8%85%B8%E7%B2%89%E9%BA%B5%E5%BA%97,https://ifoodie.tw/blog/62fe014a781cc01d56d3cd7e/link
禾沐日式料理,臺南市新營區中山路222號,https://ifoodie.tw/restaurant/62f2610c7cc7fc49b5ffa5a9-%E7%A6%BE%E6%B2%90%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86,https://ifoodie.tw/blog/62f25f3e3a03d16a54c6e708/link
十九甲雞排 新營店,臺南市新營區東興路65號之1號,https://ifoodie.tw/restaurant/62f1d2d07cc7fc4eceb8dcec-%E5%8D%81%E4%B9%9D%E7%94%B2%E9%9B%9E%E6%8E%92-%E6%96%B0%E7%87%9F%E5%BA%97,https://ifoodie.tw/blog/62f10da571a2b22e2e541008/link
